#	Гэрээний нэр	Эрдсийн төрөл	Гэрээний төрөл	Гэрээ байгуулсан огноо	Баримт бичгийн төрөл	Гэрээ байгуулсан төрийн байгууллага	Компанийн нэр	Төслийн нэр	Гэрээний файл	OCID	Аннотацийн текст	Метадата текст
1.	Тавантолгой ордын далд уурхайн хайгуул, судалгааны ажил гүйцэтгэх гэрээ	Нүүрс;		2023-10-25	Гэрээ	Эрдэнэс-Тавантолгой ХК;	Элгэн ХХК		https://beta-api.iltodgeree.mn/api/contracts/download/1139/pdf	ocds-591adf-MN4862568836RC		" Тавантолгой ордын далд уурхайн хайгуул, судалгааны ажил гүйцэтгэх гэрээ mn MN Mongolia 27 Эрдэнэс-Тавантолгой ХК Гэрээ 2023-10-25 2023 Элгэн ХХК -1 rc 0 -1 -1 1 53881737 ocds-591adf-MN4862568836RC https://www.iltodgeree.mn/rc_admin/app/1139/1139-tavantolgoy-ordyn-dald-uurkhayn-khayguul-sudalgaany-azhil-gytsetgekh-geree.pdf https://www.iltodgeree.mn/rc_admin/app/1139/1139-tavantolgoy-ordyn-dald-uurkhayn-khayguul-sudalgaany-azhil-gytsetgekh-geree.txt 20 369 20 369"
2.	"""Загийн усны хоолой"" гүний усны ордоос ""Эрдэнэс Тавантолгой"" ХК-ийн нүүрсний уурхай хүртэлх ус хангамжийн шугам хоолойн барилга угсралтын ажлын гүйцэтгэгчидтэй байгуулах Ерөнхий гэрээ"	Нүүрс;	Бүтээн байгуулалтын гэрээ	2022-01-28	Гэрээ	Эрдэнэс-Тавантолгой ХК;	"""Набсан"" ХХК"		https://beta-api.iltodgeree.mn/api/contracts/download/1140/pdf	ocds-591adf-MN3993712738RC		" ""Загийн усны хоолой"" гүний усны ордоос ""Эрдэнэс Тавантолгой"" ХК-ийн нүүрсний уурхай хүртэлх ус хангамжийн шугам хоолойн барилга угсралтын ажлын гүйцэтгэгчидтэй байгуулах Ерөнхий гэрээ mn MN Mongolia 27 Эрдэнэс-Тавантолгой ХК Гүйцэтгэх захирал Н.Ганхуяг Contract Development agreement 2022-01-28 2024-01-28 2022 ""Набсан"" ХХК Улаанбаатар хот, Чингэлтэй дүүрэг, 1-р хороо Бага тойруу 46-401 тоот Ерөнхий захирал Т.Баярсайхан -1 rc 0 -1 -1 1 17872711 ocds-591adf-MN3993712738RC https://www.iltodgeree.mn/rc_admin/app/1140/1140-zagiyn-usny-khooloy-gniy-usny-ordoos-erdenes-tavantolgoy-khk-iyn-nrsniy-uurkhay-khrtelkh-us-khangamzhiyn-shugam-khooloyn-barilga-ugsraltyn-azhlyn-gyts....pdf https://www.iltodgeree.mn/rc_admin/app/1140/1140-zagiyn-usny-khooloy-gniy-usny-ordoos-erdenes-tavantolgoy-khk-iyn-nrsniy-uurkhay-khrtelkh-us-khangamzhiyn-shugam-khooloyn-barilga-ugsraltyn-azhlyn-gyts.txt 20 369 20 369"
3.	"""Загийн усны хоолой"" гүний усны ордоос ""Эрдэнэс Тавантолгой"" ХК-ийн нүүрсний уурхай хүртэлх ус хангамжийн шугам хоолойн барилга угсралтын Ажил гүйцэтгэх гэрээ - 2"	Нүүрс;	Бүтээн байгуулалтын гэрээ	2022-01-28	Гэрээ	Эрдэнэс-Тавантолгой ХК;	"""Эс Энд Эи Трейд"" ХХК;Бридж Констракшн ХХК"		https://beta-api.iltodgeree.mn/api/contracts/download/1142/pdf	ocds-591adf-MN3993712738RC-1142		" ""Загийн усны хоолой"" гүний усны ордоос ""Эрдэнэс Тавантолгой"" ХК-ийн нүүрсний уурхай хүртэлх ус хангамжийн шугам хоолойн барилга угсралтын Ажил гүйцэтгэх гэрээ - 2 mn MN Mongolia 27 Эрдэнэс-Тавантолгой ХК Гэрээ Бүтээн байгуулалтын гэрээ 2022-01-28 2024-01-28 2022 ""Эс Энд Эи Трейд"" ХХК Улаанбаатар хот, Чингэлтэй дүүрэг, 1-р хороо Бага тойруу 46-401 тоот -1 Бридж Констракшн ХХК -1 rc 1 -1 -1 1 38583492 ocds-591adf-MN3993712738RC-1142 https://admin.iltodgeree.mn/app/1142/1142-zagiyn-usny-khooloy-gniy-usny-ordoos-erdenes-tavantolgoy-khk-iyn-nrsniy-uurkhay-khrtelkh-us-khangamzhiyn-shugam-khooloyn-barilga-ugsraltyn-azhil-gytse....pdf https://admin.iltodgeree.mn/app/1142/1142-zagiyn-usny-khooloy-gniy-usny-ordoos-erdenes-tavantolgoy-khk-iyn-nrsniy-uurkhay-khrtelkh-us-khangamzhiyn-shugam-khooloyn-barilga-ugsraltyn-azhil-gytse.txt 1140 ""Загийн усны хоолой"" гүний усны ордоос ""Эрдэнэс Тавантолгой"" ХК-ийн нүүрсний уурхай хүртэлх ус хангамжийн шугам хоолойн барилга угсралтын ажлын гүйцэтгэгчидтэй байгуулах Ерөнхий гэрээ 20 369 20 369"
4.	"""Загийн усны хоолой"" гүний усны ордоос ""Эрдэнэс Тавантолгой"" ХК-ийн нүүрсний уурхай хүртэлх ус хангамжийн шугам хоолойн барилга угсралтын Ажил гүйцэтгэх гэрээ - 1"	Нүүрс;	Бүтээн байгуулалтын гэрээ	2022-01-28	Гэрээ	Эрдэнэс-Тавантолгой ХК;	"""Набсан"" ХХК;Тэргүүн Инвест ХХК"		https://beta-api.iltodgeree.mn/api/contracts/download/1141/pdf	ocds-591adf-MN3993712738RC-1141		" ""Загийн усны хоолой"" гүний усны ордоос ""Эрдэнэс Тавантолгой"" ХК-ийн нүүрсний уурхай хүртэлх ус хангамжийн шугам хоолойн барилга угсралтын Ажил гүйцэтгэх гэрээ - 1 mn MN Mongolia 27 Эрдэнэс-Тавантолгой ХК Contract Development agreement 2022-01-28 2024-01-28 2022 ""Набсан"" ХХК Улаанбаатар хот, Чингэлтэй дүүрэг, 1-р хороо Бага тойруу 46-401 тоот -1 Тэргүүн Инвест ХХК -1 rc 1 -1 -1 1 39162953 ocds-591adf-MN3993712738RC-1141 https://www.iltodgeree.mn/rc_admin/app/1141/1141-zagiyn-usny-khooloy-gniy-usny-ordoos-erdenes-tavantolgoy-khk-iyn-nrsniy-uurkhay-khrtelkh-us-khangamzhiyn-shugam-khooloyn-barilga-ugsraltyn-azhil-gytse....pdf https://www.iltodgeree.mn/rc_admin/app/1141/1141-zagiyn-usny-khooloy-gniy-usny-ordoos-erdenes-tavantolgoy-khk-iyn-nrsniy-uurkhay-khrtelkh-us-khangamzhiyn-shugam-khooloyn-barilga-ugsraltyn-azhil-gytse.txt 1140 ""Загийн усны хоолой"" гүний усны ордоос ""Эрдэнэс Тавантолгой"" ХК-ийн нүүрсний уурхай хүртэлх ус хангамжийн шугам хоолойн барилга угсралтын ажлын гүйцэтгэгчидтэй байгуулах Ерөнхий гэрээ 20 369 20 369"
5.	Эрлийн ажил гүйцэтгэх гэрээ, Эс би петролиум ХХК	Шатдаг Занар;	Газрын тосны эрлийн гэрээ	2018-08-08	Гэрээ	Ашигт малтмал, газрын тосны газар;	Эс би петролиум ХХК	Дундговь аймаг, Адаацаг, Дэлгэрцогт, Сайнцагаан, Луус, Дэрэн, Эрдэнэдалай, Гурвансайхан сумын нутагт шатдаг занарын эрэл хийх	https://beta-api.iltodgeree.mn/api/contracts/download/654/pdf	ocds-591adf-MN4503399740RC		" Эрлийн ажил гүйцэтгэх гэрээ, Эс би петролиум ХХК mn MN Mongolia 73 Ашигт малтмал, газрын тосны газар Contract Oil prospecting agreement 2018-08-08 2020-08-07 2018 Эс би петролиум ХХК УБ, СБД, 2-р хороо, Сөүлийн гудамж 10/1, Твин таур-1 -1 Дундговь аймаг, Адаацаг, Дэлгэрцогт, Сайнцагаан, Луус, Дэрэн, Эрдэнэдалай, Гурвансайхан сумын нутагт шатдаг занарын эрэл хийх Government rc 0 -1 -1 1 458066 ocds-591adf-MN4503399740RC http://admin.iltodgeree.mn/app/654/654-erliyn-azhil-gytsetgekh-geree-es-bi-petrolium-sayntsagaan-talbay.pdf http://admin.iltodgeree.mn/app/654/654-erliyn-azhil-gytsetgekh-geree-es-bi-petrolium-sayntsagaan-talbay.txt 8 144 8 144 8 158 8 149 8 150 8 151 8 154 8 147"
6.	"""Ар булаг-XXIX"" талбайд газрын тосны хайгуул, ашиглалтын үйл ажиллагаа эрхлэх талаар Газрын тосны газар, ""Макс ойл"" ХХК-ийн хооронд байгуулсан бүтээгдэхүүн хуваах гэрээ"	Газрын Тос;	Бүтээгдэхүүн хуваах гэрээ	2017-07-06	Гэрээ	Газрын тосны газар;	"""Макс ойл"" ХХК"		https://beta-api.iltodgeree.mn/api/contracts/download/336/pdf	ocds-591adf-MN2441097077RC		" ""Ар булаг-XXIX"" талбайд газрын тосны хайгуул, ашиглалтын үйл ажиллагаа эрхлэх талаар Газрын тосны газар, ""Макс ойл"" ХХК-ийн хооронд байгуулсан бүтээгдэхүүн хуваах гэрээ mn MN Mongolia 32 Газрын тосны газар Contract Production or Profit Sharing Agreement 2017-07-06 2017 5689945 ""Макс ойл"" ХХК 1 rc 0 -1 -1 1 6473103 ocds-591adf-MN2441097077RC http://admin.iltodgeree.mn/app/336/336-ar-bulag-xxix-talbayd-gazryn-tosny-khayguul-ashiglaltyn-yl-azhillagaa-erkhlekh-talaar-gazryn-tosny-gazar-maks-oyl-khkhk-iyn-khoorond-bayguulsan-bteegd....pdf http://admin.iltodgeree.mn/app/336/336-ar-bulag-xxix-talbayd-gazryn-tosny-khayguul-ashiglaltyn-yl-azhillagaa-erkhlekh-talaar-gazryn-tosny-gazar-maks-oyl-khkhk-iyn-khoorond-bayguulsan-bteegd.txt 7 138 7 138"
7.	"""Эргэл XII"" талбайд газрын тосны хайгуул, ашиглалтын үйл ажиллагаа эрхлэх талаар Ашигт малтмал, газрын тосны газар ""Смарт ойл инвестмент лтд"" компанийн хооронд байгуулсан бүтээгдэхүүн хуваах гэрээ"	Газрын Тос;	Бүтээгдэхүүн хуваах гэрээ	2016-09-09	Гэрээ	Ашигт малтмал, газрын тосны газар;	Смарт ойл инвестмент лтд		https://beta-api.iltodgeree.mn/api/contracts/download/354/pdf	ocds-591adf-MN3815034117RC		" ""Эргэл XII"" талбайд газрын тосны хайгуул, ашиглалтын үйл ажиллагаа эрхлэх талаар Ашигт малтмал, газрын тосны газар ""Смарт ойл инвестмент лтд"" компанийн хооронд байгуулсан бүтээгдэхүүн хуваах гэрээ mn MN Mongolia 32 Ашигт малтмал, газрын тосны газар Contract Production or Profit Sharing Agreement 2016-09-09 2016 Смарт ойл инвестмент лтд 1 rc 0 -1 -1 1 8044153 ocds-591adf-MN3815034117RC http://admin.iltodgeree.mn/app/354/354-ergel-xii-talbayd-gazryn-tosny-khayguul-ashiglaltyn-yl-azhillagaa-erkhlekh-talaar-ashigt-maltmal-gazryn-tosny-gazar-smart-oyl-investment-ltd-kompaniyn....pdf http://admin.iltodgeree.mn/app/354/354-ergel-xii-talbayd-gazryn-tosny-khayguul-ashiglaltyn-yl-azhillagaa-erkhlekh-talaar-ashigt-maltmal-gazryn-tosny-gazar-smart-oyl-investment-ltd-kompaniyn.txt 6 120 6 120"
8.	"Монгол Улсын Засгийн газар болон ""Эрдэнэс цагаан суварга"" ХХК, ""Монголын алт"" (МАК) ХХК-ийн хооронд байгуулсан Цагаан суварга төслийн хөрөнгө оруулалтын гэрээ"	Зэс;	Хөрөнгө өруулалтын гэрээ	2015-10-13	Гэрээ	Засгийн газар;	Эрдэнэс цагаан суварга ХХК;Монголын алт ХХК		https://beta-api.iltodgeree.mn/api/contracts/download/357/pdf	ocds-591adf-MN5277413979RC		" Монгол Улсын Засгийн газар болон ""Эрдэнэс цагаан суварга"" ХХК, ""Монголын алт"" (МАК) ХХК-ийн хооронд байгуулсан Цагаан суварга төслийн хөрөнгө оруулалтын гэрээ mn MN Mongolia 30 Засгийн газар Contract Investment Incentive Contract 2015-10-13 2015 5824826 Эрдэнэс цагаан суварга ХХК 1 2095025 Монголын алт ХХК 1 rc 0 -1 -1 1 3884592 ocds-591adf-MN5277413979RC http://admin.iltodgeree.mn/app/357/357-mongol-ulsyn-zasgiyn-gazar-bolon-erdenes-tsagaan-suvarga-khkhk-mongolyn-alt-mak-khkhk-iyn-khoorond-bayguulsan-tsagaan-suvarga-tsliyn-khrng-oruulaltyn-....pdf http://admin.iltodgeree.mn/app/357/357-mongol-ulsyn-zasgiyn-gazar-bolon-erdenes-tsagaan-suvarga-khkhk-mongolyn-alt-mak-khkhk-iyn-khoorond-bayguulsan-tsagaan-suvarga-tsliyn-khrng-oruulaltyn-.txt 6 120 6 120"
9.	"""Хар ус - II"" талбайд газрын тосны хайгуул, ашиглалтын үйл ажиллагаа эрхлэх талаар Газрын тосны газар, ""Ренова-Илч"" ХХК-ийн хооронд байгуулсан бүтээгдэхүүн хуваах гэрээ"	Газрын Тос;	Бүтээгдэхүүн хуваах гэрээ	2015-04-17	Гэрээ	Газрын тосны газар;	Ренова Илч ХХК		https://beta-api.iltodgeree.mn/api/contracts/download/349/pdf	ocds-591adf-MN4789557596RC		" ""Хар ус - II"" талбайд газрын тосны хайгуул, ашиглалтын үйл ажиллагаа эрхлэх талаар Газрын тосны газар, ""Ренова-Илч"" ХХК-ийн хооронд байгуулсан бүтээгдэхүүн хуваах гэрээ mn MN Mongolia 32 Газрын тосны газар Contract Production or Profit Sharing Agreement 2015-04-17 2015 5088909 Ренова Илч ХХК 1 rc 0 -1 -1 1 7249095 ocds-591adf-MN4789557596RC http://admin.iltodgeree.mn/app/349/349-khar-us-ii-talbayd-gazryn-tosny-khayguul-ashiglaltyn-yl-azhillagaa-erkhlekh-talaar-gazryn-tosny-gazar-renova-ilch-khkhk-iyn-khoorond-bayguulsan-bteegd....pdf http://admin.iltodgeree.mn/app/349/349-khar-us-ii-talbayd-gazryn-tosny-khayguul-ashiglaltyn-yl-azhillagaa-erkhlekh-talaar-gazryn-tosny-gazar-renova-ilch-khkhk-iyn-khoorond-bayguulsan-bteegd.txt 16 304 16 304"
10.	"""Хэрлэн тохой XXVIII"" талбайд газрын тосны хайгуул, ашиглалтын үйл ажиллагаа эрхлэх талаар Газрын тосны газар, ""Хонконг Вэлпэк Индастриал"" компанийн хооронд байгуулсан бүтээгдэхүүн хуваах гэрээ"	Газрын Тос;	Бүтээгдэхүүн хуваах гэрээ	2015-04-16	Гэрээ	;	Хонконг вэлпэк индастриал		https://beta-api.iltodgeree.mn/api/contracts/download/351/pdf	ocds-591adf-MN2832998338RC		" ""Хэрлэн тохой XXVIII"" талбайд газрын тосны хайгуул, ашиглалтын үйл ажиллагаа эрхлэх талаар Газрын тосны газар, ""Хонконг Вэлпэк Индастриал"" компанийн хооронд байгуулсан бүтээгдэхүүн хуваах гэрээ mn MN Mongolia 32 Contract Production or Profit Sharing Agreement 2015-04-16 2015 Хонконг вэлпэк индастриал 1 rc 0 -1 -1 1 8383894 ocds-591adf-MN2832998338RC http://admin.iltodgeree.mn/app/351/351-kherlen-tokhoy-xxviii-talbayd-gazryn-tosny-khayguul-ashiglaltyn-yl-azhillagaa-erkhlekh-talaar-gazryn-tosny-gazar-khonkong-velpek-indastrial-kompaniyn-....pdf http://admin.iltodgeree.mn/app/351/351-kherlen-tokhoy-xxviii-talbayd-gazryn-tosny-khayguul-ashiglaltyn-yl-azhillagaa-erkhlekh-talaar-gazryn-tosny-gazar-khonkong-velpek-indastrial-kompaniyn-.txt 7 131 7 131"
11.	"Монгол Улсын Засгийн газар болон ""Монцемент билдинг материалс"" ХХК, ""Монполимет"" ХХК-ийн хооронд байгуулсан Монцемент үйлдвэрийн төслийн хөрөнгө оруулалтын гэрээ"	Шохойн Чулуу;	Хөрөнгө өруулалтын гэрээ	2015-02-28	Гэрээ	Засгийн газар;	Монцемент билдинг материалс ХХК;Монполимет ХХК		https://beta-api.iltodgeree.mn/api/contracts/download/356/pdf	ocds-591adf-MN5673441398RC		" Монгол Улсын Засгийн газар болон ""Монцемент билдинг материалс"" ХХК, ""Монполимет"" ХХК-ийн хооронд байгуулсан Монцемент үйлдвэрийн төслийн хөрөнгө оруулалтын гэрээ mn MN Mongolia 57 Засгийн газар Contract Investment Incentive Contract 2015-02-28 2015 5106567 Монцемент билдинг материалс ХХК Захирал С.Энхтуяа 1 2029278 Монполимет ХХК 1 rc 0 -1 -1 1 2959359 ocds-591adf-MN5673441398RC http://admin.iltodgeree.mn/app/356/356-mongol-ulsyn-zasgiyn-gazar-bolon-montsement-bilding-materials-khkhk-monpolimet-khkhk-iyn-khoorond-bayguulsan-montsement-yldveriyn-tsliyn-khrng-oruulal....pdf http://admin.iltodgeree.mn/app/356/356-mongol-ulsyn-zasgiyn-gazar-bolon-montsement-bilding-materials-khkhk-monpolimet-khkhk-iyn-khoorond-bayguulsan-montsement-yldveriyn-tsliyn-khrng-oruulal.txt 6 121 6 121"
12.	"Газрын тосны хайгуулын Номгон - IX талбайн талаар Газрын тосны газар, ""Сансарын геологи хайгуул"" ХХК-ийн хооронд байгуулсан бүтээгдэхүүн хуваах гэрээ"	Газрын Тос;	Бүтээгдэхүүн хуваах гэрээ	2014-01-26	Гэрээ	Газрын тосны газар;	Сансарын геологи хайгуул ХХК		https://beta-api.iltodgeree.mn/api/contracts/download/343/pdf	ocds-591adf-MN7176550520RC		" Газрын тосны хайгуулын Номгон - IX талбайн талаар Газрын тосны газар, ""Сансарын геологи хайгуул"" ХХК-ийн хооронд байгуулсан бүтээгдэхүүн хуваах гэрээ mn MN Mongolia 32 Газрын тосны газар Contract Production or Profit Sharing Agreement 2014-01-26 2014 5036933 Сансарын геологи хайгуул ХХК -1 rc 0 -1 -1 1 7662154 ocds-591adf-MN7176550520RC http://admin.iltodgeree.mn/app/343/343-gazryn-tosny-khayguulyn-nomgon-ix-talbayn-talaar-gazryn-tosny-gazar-sansaryn-geologi-khayguul-khkhk-iyn-khoorond-bayguulsan-bteegdekhn-khuvaakh-geree.pdf http://admin.iltodgeree.mn/app/343/343-gazryn-tosny-khayguulyn-nomgon-ix-talbayn-talaar-gazryn-tosny-gazar-sansaryn-geologi-khayguul-khkhk-iyn-khoorond-bayguulsan-bteegdekhn-khuvaakh-geree.txt 11 214 11 214"
13.	"Газрын тосны хайгуулын Дарьганга-XXIV талбайн талаар Газрын тосны газар, ""Апекспро Инвестмэнт Лимитэд""-ийн хооронд байгуулсан бүтээгдэхүүн хуваах гэрээ"	Газрын Тос;	Бүтээгдэхүүн хуваах гэрээ	2010-12-17	Гэрээ	Газрын тосны газар;	Апекспро инвестмэнт лимитэд		https://beta-api.iltodgeree.mn/api/contracts/download/340/pdf	ocds-591adf-MN3057639922RC		" Газрын тосны хайгуулын Дарьганга-XXIV талбайн талаар Газрын тосны газар, ""Апекспро Инвестмэнт Лимитэд""-ийн хооронд байгуулсан бүтээгдэхүүн хуваах гэрээ mn MN Mongolia 32 Газрын тосны газар Contract Production or Profit Sharing Agreement 2010-12-17 2010 Апекспро инвестмэнт лимитэд 1 rc 0 -1 -1 1 7057814 ocds-591adf-MN3057639922RC http://admin.iltodgeree.mn/app/340/340-gazryn-tosny-khayguulyn-darganga-xxiv-talbayn-talaar-gazryn-tosny-gazar-apekspro-investment-limited-iyn-khoorond-bayguulsan-bteegdekhn-khuvaakh-geree.pdf http://admin.iltodgeree.mn/app/340/340-gazryn-tosny-khayguulyn-darganga-xxiv-talbayn-talaar-gazryn-tosny-gazar-apekspro-investment-limited-iyn-khoorond-bayguulsan-bteegdekhn-khuvaakh-geree.txt 12 224 12 224"
